Education Level,Salary,Years of Experience,Age
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,11.237177936373532,18.0
Master Degree or Equivalent,103110.08171765343,15.0,39.5
Bachelor Degree or Equivalent,38552,2.0,21.0
Bachelor Degree or Equivalent,103110.08171765343,25.0,49.5
Bachelor Degree or Equivalent,41197,6.0,29.5
Secondary Education,103110.08171765343,3.0,21.0
NA,103110.08171765343,11.237177936373532,49.5
Master Degree or Equivalent,128507,2.0,29.5
Master Degree or Equivalent,103110.08171765343,32.0,59.5
Secondary Education,103110.08171765343,11.237177936373532,21.0
Master Degree or Equivalent,103110.08171765343,3.0,39.5
Master Degree or Equivalent,103110.08171765343,16.0,49.5
Bachelor Degree or Equivalent,69608,10.0,39.5
Master Degree or Equivalent,103110.08171765343,6.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,3.0,21.0
Master Degree or Equivalent,7000,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,11.237177936373532,21.0
Bachelor Degree or Equivalent,103110.08171765343,5.0,29.5
Master Degree or Equivalent,103110.08171765343,9.0,29.5
Professional Degree,42836,6.0,39.5
Master Degree or Equivalent,103110.08171765343,6.0,29.5
Bachelor Degree or Equivalent,24345,14.0,39.5
Associate Degree or Short-cycle Tertiary Education,53545,15.0,39.5
Bachelor Degree or Equivalent,72714,9.0,29.5
,103110.08171765343,11.237177936373532,18.0
Bachelor Degree or Equivalent,371,2.0,21.0
Bachelor Degree or Equivalent,86528,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,5.0,29.5
Master Degree or Equivalent,30842,8.0,29.5
Master Degree or Equivalent,140000,24.0,49.5
Associate Degree or Short-cycle Tertiary Education,66396,10.0,29.5
Associate Degree or Short-cycle Tertiary Education,160634,40.0,70.0
Master Degree or Equivalent,103110.08171765343,11.237177936373532,21.0
Primary Education,103110.08171765343,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,18665,9.0,29.5
Master Degree or Equivalent,117798,5.0,29.5
Bachelor Degree or Equivalent,145000,7.0,29.5
Master Degree or Equivalent,103110.08171765343,5.0,29.5
Master Degree or Equivalent,85672,6.0,29.5
Master Degree or Equivalent,103110.08171765343,4.0,29.5
Master Degree or Equivalent,85672,9.0,39.5
,103110.08171765343,4.0,21.0
Master Degree or Equivalent,111167,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,39837,7.0,29.5
Bachelor Degree or Equivalent,3291,17.0,39.5
Bachelor Degree or Equivalent,200990,10.0,29.5
Master Degree or Equivalent,103110.08171765343,45.0,70.0
Master Degree or Equivalent,2356,29.0,49.5
Associate Degree or Short-cycle Tertiary Education,46071,4.0,39.5
Master Degree or Equivalent,96381,25.0,49.5
Bachelor Degree or Equivalent,18175,6.0,29.5
Master Degree or Equivalent,90613,23.0,39.5
Master Degree or Equivalent,103110.08171765343,10.0,39.5
Bachelor Degree or Equivalent,118000,12.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,2.0,21.0
Master Degree or Equivalent,102806,10.0,29.5
Secondary Education,23019,4.0,21.0
Master Degree or Equivalent,150000,6.0,39.5
,103110.08171765343,6.0,29.5
Master Degree or Equivalent,91371,16.0,39.5
Master Degree or Equivalent,103110.08171765343,25.0,49.5
Secondary Education,8613,3.0,29.5
Associate Degree or Short-cycle Tertiary Education,85041,2.0,21.0
Master Degree or Equivalent,103110.08171765343,11.237177936373532,29.5
Bachelor Degree or Equivalent,47852,6.0,29.5
,103110.08171765343,31.0,49.5
Associate Degree or Short-cycle Tertiary Education,10709,3.0,21.0
Primary Education,107090,28.0,49.5
Bachelor Degree or Equivalent,31833,6.0,29.5
Master Degree or Equivalent,149925,10.0,39.5
Bachelor Degree or Equivalent,121238,4.0,29.5
,128507,12.0,29.5
Bachelor Degree or Equivalent,72714,3.0,29.5
Master Degree or Equivalent,200000,20.0,39.5
Master Degree or Equivalent,69608,12.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,1.0,29.5
Master Degree or Equivalent,103110.08171765343,0.0,49.5
Master Degree or Equivalent,103110.08171765343,11.237177936373532,70.0
Bachelor Degree or Equivalent,103110.08171765343,13.0,39.5
Bachelor Degree or Equivalent,47852,11.0,29.5
Master Degree or Equivalent,59970,5.0,29.5
,103110.08171765343,12.0,59.5
Associate Degree or Short-cycle Tertiary Education,53545,3.0,29.5
Bachelor Degree or Equivalent,3237,10.0,29.5
Bachelor Degree or Equivalent,52046,5.0,21.0
Master Degree or Equivalent,41765,4.0,29.5
Bachelor Degree or Equivalent,71326,7.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,18.0,49.5
Bachelor Degree or Equivalent,103110.08171765343,30.0,70.0
Bachelor Degree or Equivalent,103110.08171765343,7.0,29.5
Bachelor Degree or Equivalent,62969,5.0,29.5
Bachelor Degree or Equivalent,55862,12.0,39.5
Primary Education,48190,3.0,29.5
Master Degree or Equivalent,24234,8.0,39.5
Associate Degree or Short-cycle Tertiary Education,34911,2.0,29.5
Bachelor Degree or Equivalent,26772,3.0,21.0
Bachelor Degree or Equivalent,103110.08171765343,19.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,6.0,29.5
Master Degree or Equivalent,65325,18.0,39.5
Master Degree or Equivalent,103110.08171765343,3.0,21.0
Professional Degree,74963,8.0,39.5
Bachelor Degree or Equivalent,3213,15.0,39.5
Master Degree or Equivalent,185879,50.0,70.0
Master Degree or Equivalent,51415,24.0,49.5
Bachelor Degree or Equivalent,170000,25.0,39.5
Bachelor Degree or Equivalent,138033,30.0,49.5
Master Degree or Equivalent,5322,20.0,39.5
Secondary Education,3962,5.0,21.0
Bachelor Degree or Equivalent,103110.08171765343,11.0,29.5
Bachelor Degree or Equivalent,110000,19.0,39.5
Bachelor Degree or Equivalent,155000,27.0,49.5
Master Degree or Equivalent,53545,10.0,29.5
Master Degree or Equivalent,128507,10.0,39.5
Master Degree or Equivalent,103110.08171765343,0.0,29.5
Professional Degree,103110.08171765343,2.0,29.5
Bachelor Degree or Equivalent,36351,4.0,21.0
Master Degree or Equivalent,55687,8.0,29.5
Master Degree or Equivalent,96381,23.0,39.5
Secondary Education,58899,20.0,39.5
Bachelor Degree or Equivalent,44978,16.0,39.5
Bachelor Degree or Equivalent,74963,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,56757,17.0,39.5
Master Degree or Equivalent,80317,16.0,39.5
Bachelor Degree or Equivalent,74963,6.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,0.0,29.5
Bachelor Degree or Equivalent,42306,15.0,39.5
Bachelor Degree or Equivalent,101735,7.0,29.5
Bachelor Degree or Equivalent,71379,2.0,29.5
Primary Education,103110.08171765343,11.237177936373532,18.0
,20000,5.0,21.0
Bachelor Degree or Equivalent,99195,3.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,15.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,1.0,21.0
Bachelor Degree or Equivalent,59403,0.0,21.0
Bachelor Degree or Equivalent,58008,5.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,2.0,29.5
Master Degree or Equivalent,170000,43.0,59.5
Professional Degree,103110.08171765343,19.0,49.5
Bachelor Degree or Equivalent,120000,7.0,29.5
Secondary Education,85672,21.0,39.5
Master Degree or Equivalent,103110.08171765343,14.0,39.5
Master Degree or Equivalent,130000,10.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,4.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,2.0,33.12089367216994
Master Degree or Equivalent,103110.08171765343,11.237177936373532,39.5
Bachelor Degree or Equivalent,10000,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,223449,6.0,21.0
Bachelor Degree or Equivalent,73104,14.0,39.5
Bachelor Degree or Equivalent,30431,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,8.0,29.5
Secondary Education,55285,14.0,39.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,25.0,49.5
Master Degree or Equivalent,103110.08171765343,11.0,29.5
Secondary Education,18289,8.0,29.5
Bachelor Degree or Equivalent,16063,6.0,21.0
Master Degree or Equivalent,103110.08171765343,10.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,1.0,21.0
Master Degree or Equivalent,103110.08171765343,22.0,49.5
Master Degree or Equivalent,125380,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,46992,26.0,49.5
Associate Degree or Short-cycle Tertiary Education,1021,2.0,21.0
Associate Degree or Short-cycle Tertiary Education,64254,8.0,39.5
Master Degree or Equivalent,42836,19.0,39.5
Bachelor Degree or Equivalent,5089,1.0,21.0
Bachelor Degree or Equivalent,79246,25.0,49.5
Bachelor Degree or Equivalent,240000,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,13922,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,74963,38.0,59.5
Master Degree or Equivalent,61041,4.0,21.0
Master Degree or Equivalent,172542,13.0,39.5
Associate Degree or Short-cycle Tertiary Education,7087,5.0,21.0
Secondary Education,138985,18.0,39.5
Master Degree or Equivalent,33000,7.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,11.237177936373532,49.5
Master Degree or Equivalent,103110.08171765343,11.237177936373532,59.5
Master Degree or Equivalent,55687,3.0,29.5
Bachelor Degree or Equivalent,37481,2.0,29.5
Bachelor Degree or Equivalent,150000,25.0,49.5
Bachelor Degree or Equivalent,131620,13.0,39.5
Master Degree or Equivalent,60393,8.0,29.5
Bachelor Degree or Equivalent,120000,33.0,59.5
Bachelor Degree or Equivalent,77104,10.0,39.5
Bachelor Degree or Equivalent,130841,8.0,39.5
Master Degree or Equivalent,103110.08171765343,3.0,29.5
Professional Degree,103110.08171765343,44.0,70.0
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,19.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,8.0,29.5
Bachelor Degree or Equivalent,91026,25.0,49.5
Master Degree or Equivalent,103110.08171765343,11.237177936373532,49.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,3.0,21.0
Master Degree or Equivalent,69608,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,3110,20.0,39.5
Master Degree or Equivalent,3635,2.0,29.5
Master Degree or Equivalent,280000,18.0,39.5
Bachelor Degree or Equivalent,8996,17.0,39.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,2.0,29.5
Secondary Education,103110.08171765343,2.0,21.0
Associate Degree or Short-cycle Tertiary Education,2142,14.0,29.5
Master Degree or Equivalent,15400,29.0,59.5
,103110.08171765343,2.0,29.5
Bachelor Degree or Equivalent,74963,14.0,29.5
Bachelor Degree or Equivalent,74963,20.0,49.5
Bachelor Degree or Equivalent,80317,7.0,39.5
Secondary Education,103110.08171765343,11.237177936373532,29.5
Associate Degree or Short-cycle Tertiary Education,238,2.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,2.0,39.5
Bachelor Degree or Equivalent,19276,15.0,39.5
Associate Degree or Short-cycle Tertiary Education,88173,7.0,39.5
Professional Degree,21418,5.0,29.5
,19276,2.0,21.0
Bachelor Degree or Equivalent,64254,8.0,39.5
Associate Degree or Short-cycle Tertiary Education,25701,4.0,29.5
,82630,5.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,4.0,39.5
Associate Degree or Short-cycle Tertiary Education,350000,15.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,22.0,39.5
Bachelor Degree or Equivalent,154303,15.0,39.5
Bachelor Degree or Equivalent,168000,23.0,49.5
Bachelor Degree or Equivalent,178443,22.0,39.5
Master Degree or Equivalent,103110.08171765343,8.0,29.5
Secondary Education,24751,13.0,49.5
Master Degree or Equivalent,30000,10.0,29.5
Bachelor Degree or Equivalent,54616,20.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,15.0,39.5
Bachelor Degree or Equivalent,70759,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,14.0,29.5
Associate Degree or Short-cycle Tertiary Education,118962,10.0,39.5
Bachelor Degree or Equivalent,69608,8.0,29.5
Secondary Education,81194,13.0,39.5
Secondary Education,103110.08171765343,12.0,29.5
,103110.08171765343,3.0,21.0
Bachelor Degree or Equivalent,12851,3.0,29.5
Bachelor Degree or Equivalent,107446,9.0,39.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,11.237177936373532,29.5
Bachelor Degree or Equivalent,3247,2.0,21.0
Secondary Education,103110.08171765343,16.0,39.5
Master Degree or Equivalent,43456,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,16.0,39.5
Bachelor Degree or Equivalent,74963,14.0,39.5
,103110.08171765343,11.237177936373532,21.0
Master Degree or Equivalent,103110.08171765343,4.0,39.5
Secondary Education,69608,22.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,13.0,29.5
Bachelor Degree or Equivalent,295000,25.0,49.5
Associate Degree or Short-cycle Tertiary Education,30292,14.0,39.5
,35340,1.0,21.0
Bachelor Degree or Equivalent,11156,3.0,29.5
Master Degree or Equivalent,26657,12.0,29.5
Master Degree or Equivalent,149925,21.0,39.5
Bachelor Degree or Equivalent,32127,4.0,29.5
Master Degree or Equivalent,72975,13.0,29.5
Associate Degree or Short-cycle Tertiary Education,69517,12.0,39.5
Professional Degree,77104,12.0,39.5
Master Degree or Equivalent,103110.08171765343,24.0,49.5
Bachelor Degree or Equivalent,14102,3.0,29.5
Master Degree or Equivalent,18621,5.0,49.5
Secondary Education,69608,13.0,29.5
Bachelor Degree or Equivalent,51403,2.0,29.5
Bachelor Degree or Equivalent,180000,11.0,29.5
Bachelor Degree or Equivalent,12723,1.0,21.0
Master Degree or Equivalent,37481,2.0,29.5
Master Degree or Equivalent,115727,3.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,10.0,29.5
Bachelor Degree or Equivalent,4847,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,400000,20.0,59.5
Bachelor Degree or Equivalent,64254,14.0,39.5
Bachelor Degree or Equivalent,64254,24.0,49.5
Master Degree or Equivalent,215677,22.0,39.5
Master Degree or Equivalent,103110.08171765343,38.0,59.5
Associate Degree or Short-cycle Tertiary Education,2034,23.0,49.5
Master Degree or Equivalent,86271,10.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,23.0,39.5
Primary Education,18205,5.0,29.5
Bachelor Degree or Equivalent,64254,3.0,29.5
Secondary Education,103110.08171765343,2.0,29.5
Master Degree or Equivalent,61469,5.0,29.5
Bachelor Degree or Equivalent,24234,8.0,39.5
Master Degree or Equivalent,4605,8.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,10.0,29.5
Bachelor Degree or Equivalent,77021,7.0,49.5
Bachelor Degree or Equivalent,90613,2.0,29.5
,64686,21.0,39.5
Secondary Education,62246,20.0,39.5
Professional Degree,14897,20.0,49.5
Master Degree or Equivalent,103110.08171765343,7.0,29.5
Bachelor Degree or Equivalent,40575,5.0,29.5
Master Degree or Equivalent,48813,4.0,29.5
Bachelor Degree or Equivalent,59970,3.0,29.5
Professional Degree,167000,12.0,39.5
Bachelor Degree or Equivalent,1627,8.0,29.5
Master Degree or Equivalent,32127,3.0,29.5
Bachelor Degree or Equivalent,65325,15.0,39.5
Bachelor Degree or Equivalent,437,1.0,29.5
Master Degree or Equivalent,103110.08171765343,2.0,21.0
Bachelor Degree or Equivalent,19000,4.0,49.5
Master Degree or Equivalent,132260,20.0,49.5
Master Degree or Equivalent,5354,5.0,29.5
Bachelor Degree or Equivalent,65431,10.0,29.5
Professional Degree,44978,10.0,39.5
Bachelor Degree or Equivalent,6543,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,57828,4.0,29.5
Bachelor Degree or Equivalent,50740,7.0,39.5
Bachelor Degree or Equivalent,69608,13.0,39.5
Bachelor Degree or Equivalent,2463,20.0,39.5
Master Degree or Equivalent,125000,15.0,39.5
Master Degree or Equivalent,4307,11.0,39.5
Associate Degree or Short-cycle Tertiary Education,3652,0.0,29.5
Master Degree or Equivalent,175000,11.0,39.5
Associate Degree or Short-cycle Tertiary Education,104948,11.0,39.5
Professional Degree,42836,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,4.0,21.0
Master Degree or Equivalent,44978,12.0,39.5
Associate Degree or Short-cycle Tertiary Education,2356,14.0,39.5
Bachelor Degree or Equivalent,32127,3.0,29.5
Professional Degree,103110.08171765343,16.0,39.5
Master Degree or Equivalent,103110.08171765343,12.0,29.5
Master Degree or Equivalent,2088,2.0,29.5
Master Degree or Equivalent,68537,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,0.0,21.0
Master Degree or Equivalent,6640,15.0,39.5
Secondary Education,269,3.0,21.0
Professional Degree,155280,40.0,59.5
Master Degree or Equivalent,64254,6.0,29.5
Bachelor Degree or Equivalent,117798,11.0,29.5
Master Degree or Equivalent,80000,2.0,39.5
Bachelor Degree or Equivalent,7876,4.0,21.0
Master Degree or Equivalent,19152,6.0,39.5
,38981,5.0,29.5
Bachelor Degree or Equivalent,18190,5.0,29.5
Professional Degree,103110.08171765343,11.237177936373532,29.5
Master Degree or Equivalent,59970,7.0,29.5
Bachelor Degree or Equivalent,5715,0.0,21.0
Bachelor Degree or Equivalent,28403,10.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,11.237177936373532,59.5
Master Degree or Equivalent,103110.08171765343,17.0,39.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,11.237177936373532,39.5
Secondary Education,41765,3.0,29.5
Bachelor Degree or Equivalent,77644,5.0,21.0
Bachelor Degree or Equivalent,215000,15.0,29.5
Master Degree or Equivalent,47852,3.0,29.5
Master Degree or Equivalent,37481,5.0,29.5
Master Degree or Equivalent,62069,15.0,49.5
Professional Degree,120000,15.0,39.5
Master Degree or Equivalent,140000,14.0,29.5
,53403,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,51403,5.0,29.5
Master Degree or Equivalent,203470,15.0,29.5
Master Degree or Equivalent,103110.08171765343,18.0,39.5
Professional Degree,117798,3.0,29.5
Master Degree or Equivalent,19843,2.0,29.5
Bachelor Degree or Equivalent,130000,24.0,49.5
Bachelor Degree or Equivalent,64254,2.0,29.5
Master Degree or Equivalent,33733,1.0,21.0
Bachelor Degree or Equivalent,12117,2.0,29.5
Master Degree or Equivalent,90000,2.0,39.5
Associate Degree or Short-cycle Tertiary Education,60294,11.0,29.5
Master Degree or Equivalent,50752,15.0,39.5
Master Degree or Equivalent,103110.08171765343,16.0,39.5
Bachelor Degree or Equivalent,165974,7.0,29.5
Master Degree or Equivalent,103110.08171765343,20.0,33.12089367216994
Master Degree or Equivalent,103110.08171765343,1.0,29.5
Professional Degree,40966,20.0,59.5
Secondary Education,103110.08171765343,11.237177936373532,33.12089367216994
Bachelor Degree or Equivalent,192000,9.0,39.5
Associate Degree or Short-cycle Tertiary Education,6205,5.0,39.5
Secondary Education,121238,3.0,21.0
Professional Degree,103110.08171765343,4.0,29.5
Professional Degree,107090,8.0,39.5
Master Degree or Equivalent,90000,7.0,29.5
Bachelor Degree or Equivalent,102806,7.0,29.5
Bachelor Degree or Equivalent,280000,13.0,39.5
Bachelor Degree or Equivalent,145000,27.0,49.5
Bachelor Degree or Equivalent,38552,10.0,29.5
Master Degree or Equivalent,64254,13.0,39.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,30.0,49.5
Associate Degree or Short-cycle Tertiary Education,48190,9.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,14.0,39.5
Master Degree or Equivalent,2871,35.0,70.0
Bachelor Degree or Equivalent,85672,7.0,39.5
Secondary Education,70000,2.0,21.0
Master Degree or Equivalent,107090,17.0,39.5
Bachelor Degree or Equivalent,2032,16.0,39.5
Master Degree or Equivalent,103110.08171765343,5.0,39.5
Master Degree or Equivalent,58899,11.237177936373532,39.5
Bachelor Degree or Equivalent,3178,15.0,39.5
Bachelor Degree or Equivalent,44978,0.0,29.5
Master Degree or Equivalent,36687,8.0,29.5
Secondary Education,103110.08171765343,1.0,21.0
Bachelor Degree or Equivalent,110216,11.0,29.5
Master Degree or Equivalent,16964,4.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,4.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,19.0,33.12089367216994
Master Degree or Equivalent,53545,15.0,49.5
Secondary Education,103110.08171765343,0.0,18.0
Bachelor Degree or Equivalent,59481,3.0,21.0
Bachelor Degree or Equivalent,61684,12.0,29.5
Secondary Education,103110.08171765343,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,170000,25.0,39.5
Bachelor Degree or Equivalent,9221,8.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,8.0,39.5
Master Degree or Equivalent,51403,10.0,29.5
Bachelor Degree or Equivalent,26318,12.0,29.5
Master Degree or Equivalent,58899,3.0,29.5
Bachelor Degree or Equivalent,90000,8.0,39.5
Master Degree or Equivalent,150000,20.0,49.5
Bachelor Degree or Equivalent,111527,5.0,29.5
Master Degree or Equivalent,103110.08171765343,13.0,39.5
Master Degree or Equivalent,55687,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,32127,6.0,29.5
Master Degree or Equivalent,42036,2.0,29.5
Bachelor Degree or Equivalent,72000,28.0,49.5
Master Degree or Equivalent,80690,14.0,39.5
Master Degree or Equivalent,217530,20.0,39.5
Bachelor Degree or Equivalent,126000,4.0,29.5
Bachelor Degree or Equivalent,96381,11.0,39.5
,103110.08171765343,11.237177936373532,33.12089367216994
Master Degree or Equivalent,101735,14.0,29.5
Professional Degree,183000,28.0,49.5
Bachelor Degree or Equivalent,66104,13.0,39.5
Master Degree or Equivalent,125000,14.0,39.5
Associate Degree or Short-cycle Tertiary Education,85000,18.0,39.5
Master Degree or Equivalent,107090,15.0,39.5
Bachelor Degree or Equivalent,6397,0.0,21.0
Bachelor Degree or Equivalent,34269,25.0,39.5
Secondary Education,103110.08171765343,27.0,39.5
Master Degree or Equivalent,88884,2.0,29.5
Bachelor Degree or Equivalent,74963,8.0,29.5
Bachelor Degree or Equivalent,29985,11.0,39.5
Bachelor Degree or Equivalent,119321,13.0,39.5
Master Degree or Equivalent,74963,4.0,29.5
,103110.08171765343,8.0,29.5
Secondary Education,80184,5.0,21.0
Associate Degree or Short-cycle Tertiary Education,200000,12.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,11.0,39.5
Associate Degree or Short-cycle Tertiary Education,17008,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,21.0,49.5
Bachelor Degree or Equivalent,176404,6.0,29.5
Bachelor Degree or Equivalent,120000,25.0,49.5
Bachelor Degree or Equivalent,164918,12.0,39.5
Master Degree or Equivalent,103110.08171765343,18.0,49.5
Bachelor Degree or Equivalent,52883,5.0,29.5
Master Degree or Equivalent,29702,24.0,49.5
Master Degree or Equivalent,99593,13.0,29.5
Bachelor Degree or Equivalent,41765,0.0,29.5
Master Degree or Equivalent,44978,16.0,39.5
Master Degree or Equivalent,186207,24.0,49.5
Professional Degree,86897,4.0,29.5
Secondary Education,42836,31.0,59.5
Master Degree or Equivalent,125000,10.0,39.5
Master Degree or Equivalent,103110.08171765343,2.0,39.5
Master Degree or Equivalent,103110.08171765343,27.0,49.5
Master Degree or Equivalent,7819,9.0,29.5
Associate Degree or Short-cycle Tertiary Education,64254,15.0,39.5
Secondary Education,170000,5.0,29.5
Master Degree or Equivalent,91026,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,130000,8.0,29.5
Bachelor Degree or Equivalent,5578,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,63199,8.0,39.5
Bachelor Degree or Equivalent,45938,7.0,29.5
Bachelor Degree or Equivalent,68537,8.0,29.5
Master Degree or Equivalent,79749,23.0,39.5
Bachelor Degree or Equivalent,32127,7.0,29.5
Master Degree or Equivalent,990,3.0,39.5
Master Degree or Equivalent,103110.08171765343,12.0,39.5
Master Degree or Equivalent,112444,10.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,35.0,70.0
Associate Degree or Short-cycle Tertiary Education,42836,5.0,29.5
Bachelor Degree or Equivalent,40694,6.0,29.5
Bachelor Degree or Equivalent,2891,1.0,29.5
Professional Degree,68537,2.0,29.5
Secondary Education,53545,0.0,21.0
Bachelor Degree or Equivalent,24095,2.0,29.5
Master Degree or Equivalent,103110.08171765343,9.0,39.5
Secondary Education,103110.08171765343,6.0,29.5
Professional Degree,27296,7.0,39.5
Bachelor Degree or Equivalent,49756,21.0,39.5
Secondary Education,83173,10.0,39.5
Master Degree or Equivalent,119631,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,34759,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,87813,21.0,49.5
Professional Degree,103110.08171765343,10.0,39.5
