Salary,Years of Experience,Education Level,Age
35000,1.0,Bachelor Degree or Equivalent,26
90000,10.0,Master Degree or Equivalent,38
120000,19.0,Bachelor Degree or Equivalent,46
45000,5.0,Bachelor Degree or Equivalent,31
90000,8.0,Master Degree or Equivalent,34
150000,18.0,Master Degree or Equivalent,49
65000,6.0,Bachelor Degree or Equivalent,33
70000,11.0,Bachelor Degree or Equivalent,39
190000,16.0,Doctorate or Equivalent,45
120000,14.0,Master Degree or Equivalent,42
95000,10.0,Bachelor Degree or Equivalent,37
160000,22.0,Bachelor Degree or Equivalent,50
100000,6.0,Master Degree or Equivalent,32
180000,20.0,Master Degree or Equivalent,48
55000,3.0,Bachelor Degree or Equivalent,30
70000,8.0,Bachelor Degree or Equivalent,36
80000,13.0,Master Degree or Equivalent,41
30000,0.0,Bachelor Degree or Equivalent,25
250000,24.0,Doctorate or Equivalent,52
40000,2.0,Bachelor Degree or Equivalent,29
95000,10.0,Master Degree or Equivalent,34
80000,15.0,Bachelor Degree or Equivalent,40
135000,21.0,Master Degree or Equivalent,46
55000,6.0,Bachelor Degree or Equivalent,31
120000,11.0,Doctorate or Equivalent,36
40000,3.0,Bachelor Degree or Equivalent,29
105000,18.0,Bachelor Degree or Equivalent,43
170000,25.0,Master Degree or Equivalent,52
75000,7.0,Bachelor Degree or Equivalent,33
65000,12.0,Bachelor Degree or Equivalent,39
160000,22.0,Doctorate or Equivalent,47
110000,20.0,Bachelor Degree or Equivalent,45
95000,8.0,Master Degree or Equivalent,35
150000,19.0,Master Degree or Equivalent,49
50000,5.0,Bachelor Degree or Equivalent,33
80000,13.0,Master Degree or Equivalent,39
220000,16.0,Doctorate or Equivalent,44
50000,3.0,Bachelor Degree or Equivalent,30
100000,14.0,Master Degree or Equivalent,41
110000,15.0,Master Degree or Equivalent,42
95000,9.0,Bachelor Degree or Equivalent,37
130000,22.0,Bachelor Degree or Equivalent,50
90000,6.0,Master Degree or Equivalent,32
35000,0.5,Bachelor Degree or Equivalent,23
95000,6.0,Master Degree or Equivalent,31
65000,15.0,Bachelor Degree or Equivalent,40
170000,20.0,Doctorate or Equivalent,48
45000,3.0,Bachelor Degree or Equivalent,29
120000,10.0,Master Degree or Equivalent,35
100000,17.0,Bachelor Degree or Equivalent,42
180000,25.0,Master Degree or Equivalent,53
80000,11.0,Bachelor Degree or Equivalent,38
140000,16.0,Doctorate or Equivalent,44
40000,2.0,Bachelor Degree or Equivalent,26
95000,9.0,Master Degree or Equivalent,37
110000,18.0,Bachelor Degree or Equivalent,45
50000,4.0,Bachelor Degree or Equivalent,32
105000,8.0,Master Degree or Equivalent,34
160000,21.0,Master Degree or Equivalent,50
100000,12.0,Master Degree or Equivalent,40
35000,1.0,Bachelor Degree or Equivalent,27
55000,10.0,Bachelor Degree or Equivalent,39
140000,19.0,Master Degree or Equivalent,46
50000,4.0,Bachelor Degree or Equivalent,30
120000,14.0,Master Degree or Equivalent,43
110000,13.0,Master Degree or Equivalent,41
135000,20.0,Bachelor Degree or Equivalent,47
40000,1.5,Master Degree or Equivalent,25
90000,8.0,Bachelor Degree or Equivalent,34
150000,16.0,Doctorate or Equivalent,42
60000,4.0,Bachelor Degree or Equivalent,31
80000,10.0,Bachelor Degree or Equivalent,38
175000,19.0,Master Degree or Equivalent,45
120000,11.0,Master Degree or Equivalent,36
140000,18.0,Doctorate or Equivalent,43
35000,2.0,Bachelor Degree or Equivalent,26
110000,14.0,Bachelor Degree or Equivalent,44
50000,5.0,Bachelor Degree or Equivalent,32
115000,7.0,Master Degree or Equivalent,33
185000,23.0,Doctorate or Equivalent,51
90000,12.0,Bachelor Degree or Equivalent,39
175000,21.0,Master Degree or Equivalent,48
45000,3.0,Bachelor Degree or Equivalent,30
80000,7.0,Bachelor Degree or Equivalent,35
120000,13.0,Master Degree or Equivalent,41
35000,1.5,Bachelor Degree or Equivalent,27
110000,14.0,Bachelor Degree or Equivalent,40
150000,18.0,Doctorate or Equivalent,46
50000,4.0,Bachelor Degree or Equivalent,31
105000,9.0,Master Degree or Equivalent,34
180000,20.0,Master Degree or Equivalent,50
100577.34584450402,10.03083109919571,,37.43163538873995
140000,16.0,Bachelor Degree or Equivalent,43
45000,1.5,Master Degree or Equivalent,26
85000,7.0,Bachelor Degree or Equivalent,35
140000,18.0,Doctorate or Equivalent,42
170000,20.0,Master Degree or Equivalent,46
105000,9.0,Master Degree or Equivalent,37
145000,15.0,Doctorate or Equivalent,44
85000,8.0,Bachelor Degree or Equivalent,36
130000,14.0,Bachelor Degree or Equivalent,43
95000,6.0,Master Degree or Equivalent,33
100000,9.0,Bachelor Degree or Equivalent,34
180000,22.0,Doctorate or Equivalent,50
35000,1.5,Bachelor Degree or Equivalent,28
95000,12.0,Bachelor Degree or Equivalent,39
170000,19.0,Master Degree or Equivalent,47
95000,7.0,Bachelor Degree or Equivalent,34
120000,13.0,Master Degree or Equivalent,40
90000,11.0,Bachelor Degree or Equivalent,41
155000,17.0,Doctorate or Equivalent,45
55000,5.0,Bachelor Degree or Equivalent,32
110000,9.0,Master Degree or Equivalent,35
180000,21.0,Master Degree or Equivalent,49
130000,16.0,Bachelor Degree or Equivalent,44
45000,1.5,Master Degree or Equivalent,27
90000,7.0,Bachelor Degree or Equivalent,36
160000,17.0,Doctorate or Equivalent,41
120000,10.0,Bachelor Degree or Equivalent,39
170000,20.0,Master Degree or Equivalent,47
40000,2.0,Bachelor Degree or Equivalent,30
110000,9.0,Master Degree or Equivalent,38
85000,8.0,Bachelor Degree or Equivalent,35
130000,14.0,Bachelor Degree or Equivalent,44
100000,6.0,Master Degree or Equivalent,34
95000,9.0,Bachelor Degree or Equivalent,35
35000,1.5,Bachelor Degree or Equivalent,29
100000,12.0,Bachelor Degree or Equivalent,40
170000,19.0,Master Degree or Equivalent,48
45000,3.0,Bachelor Degree or Equivalent,31
100000,7.0,Bachelor Degree or Equivalent,33
140000,13.0,Master Degree or Equivalent,42
105000,11.0,Bachelor Degree or Equivalent,40
160000,18.0,Doctorate or Equivalent,46
70000,5.0,Bachelor Degree or Equivalent,33
120000,9.0,Master Degree or Equivalent,37
190000,21.0,Master Degree or Equivalent,51
120000,15.0,Bachelor Degree or Equivalent,43
50000,1.5,Master Degree or Equivalent,27
140000,13.0,Doctorate or Equivalent,42
45000,3.0,Bachelor Degree or Equivalent,32
100000,9.0,Bachelor Degree or Equivalent,37
140000,16.0,Master Degree or Equivalent,45
160000,18.0,Doctorate or Equivalent,44
40000,1.5,Bachelor Degree or Equivalent,29
120000,10.0,Bachelor Degree or Equivalent,38
150000,19.0,Doctorate or Equivalent,46
70000,6.0,Bachelor Degree or Equivalent,34
95000,8.0,Bachelor Degree or Equivalent,36
50000,3.0,Bachelor Degree or Equivalent,31
95000,11.0,Bachelor Degree or Equivalent,41
350,1.5,Bachelor Degree or Equivalent,29
120000,10.0,Bachelor Degree or Equivalent,37
110000,12.0,Bachelor Degree or Equivalent,42
140000,15.0,Master Degree or Equivalent,44
60000,4.0,Bachelor Degree or Equivalent,33
110000,9.0,Bachelor Degree or Equivalent,39
150000,16.0,Doctorate or Equivalent,45
60000,4.0,Bachelor Degree or Equivalent,32
90000,8.0,Bachelor Degree or Equivalent,37
180000,20.0,Master Degree or Equivalent,47
120000,9.0,Bachelor Degree or Equivalent,38
160000,17.0,Doctorate or Equivalent,46
70000,5.0,Bachelor Degree or Equivalent,34
100000,9.0,Bachelor Degree or Equivalent,35
150000,15.0,Doctorate or Equivalent,44
130000,13.0,Bachelor Degree or Equivalent,44
65000,4.0,Bachelor Degree or Equivalent,32
110000,10.0,Bachelor Degree or Equivalent,38
180000,21.0,Doctorate or Equivalent,49
90000,7.0,Bachelor Degree or Equivalent,35
140000,14.0,Master Degree or Equivalent,45
130000,12.0,Bachelor Degree or Equivalent,40
160000,16.0,Doctorate or Equivalent,44
55000,3.0,Bachelor Degree or Equivalent,31
120000,12.0,Bachelor Degree or Equivalent,42
80000,6.0,Master Degree or Equivalent,34
160000,16.0,Master Degree or Equivalent,45
130000,12.0,Bachelor Degree or Equivalent,39
180000,20.0,Doctorate or Equivalent,47
100000,9.0,Bachelor Degree or Equivalent,36
150000,15.0,Doctorate or Equivalent,43
55000,3.0,Bachelor Degree or Equivalent,32
180000,21.0,Master Degree or Equivalent,48
160000,16.0,Doctorate or Equivalent,45
90000,7.0,Bachelor Degree or Equivalent,34
90000,8.0,Bachelor Degree or Equivalent,35
170000,18.0,Master Degree or Equivalent,43
150000,14.0,Bachelor Degree or Equivalent,41
180000,19.0,Master Degree or Equivalent,45
35000,1.0,Bachelor Degree or Equivalent,28
110000,8.0,Bachelor Degree or Equivalent,36
170000,19.0,Master Degree or Equivalent,43
103110.08171765343,11.237177936373532,NA,21.0
285000,9.0,Bachelor Degree or Equivalent,29.5
250000,23.0,Bachelor Degree or Equivalent,49.5
156000,7.0,Bachelor Degree or Equivalent,29.5
23456,4.0,Bachelor Degree or Equivalent,29.5
96828,21.0,Associate Degree or Short-cycle Tertiary Education,39.5
135000,3.0,Associate Degree or Short-cycle Tertiary Education,39.5
80000,3.0,Bachelor Degree or Equivalent,29.5
64254,15.0,Master Degree or Equivalent,49.5
103110.08171765343,11.237177936373532,Bachelor Degree or Equivalent,29.5
103110.08171765343,3.0,Bachelor Degree or Equivalent,29.5
78003,9.0,Bachelor Degree or Equivalent,29.5
75000,9.0,Bachelor Degree or Equivalent,29.5
150000,0.0,Master Degree or Equivalent,39.5
187407,7.0,Master Degree or Equivalent,29.5
107090,10.0,Master Degree or Equivalent,39.5
45149,2.0,Bachelor Degree or Equivalent,39.5
58899,6.0,Master Degree or Equivalent,29.5
14,0.0,Primary Education,18.0
75010,14.0,Associate Degree or Short-cycle Tertiary Education,39.5
60828,6.0,Bachelor Degree or Equivalent,29.5
85672,5.0,Professional Degree,29.5
120000,6.0,Bachelor Degree or Equivalent,29.5
69608,10.0,Professional Degree,29.5
37481,10.0,Master Degree or Equivalent,39.5
103743,10.0,Master Degree or Equivalent,39.5
103110.08171765343,9.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,10.0,Bachelor Degree or Equivalent,39.5
38483,2.0,Bachelor Degree or Equivalent,39.5
74963,15.0,Associate Degree or Short-cycle Tertiary Education,39.5
237974,19.0,Bachelor Degree or Equivalent,39.5
26374,5.0,Bachelor Degree or Equivalent,29.5
53545,7.0,Secondary Education,29.5
74963,5.0,Master Degree or Equivalent,29.5
42836,13.0,Bachelor Degree or Equivalent,39.5
103110.08171765343,11.237177936373532,Bachelor Degree or Equivalent,39.5
130000,15.0,Associate Degree or Short-cycle Tertiary Education,59.5
53982,2.0,Master Degree or Equivalent,29.5
136552,6.0,Bachelor Degree or Equivalent,29.5
14503,4.0,Master Degree or Equivalent,29.5
111527,2.0,Bachelor Degree or Equivalent,21.0
103110.08171765343,5.0,Secondary Education,29.5
165000,16.0,Bachelor Degree or Equivalent,49.5
63000,2.0,Associate Degree or Short-cycle Tertiary Education,21.0
98000,14.0,Secondary Education,39.5
101490,9.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,11.237177936373532,Associate Degree or Short-cycle Tertiary Education,59.5
149894,28.0,Master Degree or Equivalent,59.5
103110.08171765343,1.0,Master Degree or Equivalent,39.5
1721,2.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,11.237177936373532,Secondary Education,18.0
103110.08171765343,4.0,Bachelor Degree or Equivalent,29.5
65000,30.0,Associate Degree or Short-cycle Tertiary Education,49.5
44978,11.0,Secondary Education,29.5
103110.08171765343,11.237177936373532,Bachelor Degree or Equivalent,21.0
105000,4.0,Master Degree or Equivalent,29.5
160634,8.0,Bachelor Degree or Equivalent,29.5
82459,9.0,Master Degree or Equivalent,39.5
103110.08171765343,11.237177936373532,Associate Degree or Short-cycle Tertiary Education,18.0
103110.08171765343,15.0,Master Degree or Equivalent,39.5
38552,2.0,Bachelor Degree or Equivalent,21.0
103110.08171765343,25.0,Bachelor Degree or Equivalent,49.5
41197,6.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,3.0,Secondary Education,21.0
103110.08171765343,11.237177936373532,NA,49.5
128507,2.0,Master Degree or Equivalent,29.5
103110.08171765343,32.0,Master Degree or Equivalent,59.5
103110.08171765343,11.237177936373532,Secondary Education,21.0
103110.08171765343,3.0,Master Degree or Equivalent,39.5
103110.08171765343,16.0,Master Degree or Equivalent,49.5
69608,10.0,Bachelor Degree or Equivalent,39.5
103110.08171765343,6.0,Master Degree or Equivalent,39.5
103110.08171765343,3.0,Bachelor Degree or Equivalent,21.0
7000,2.0,Master Degree or Equivalent,29.5
103110.08171765343,11.237177936373532,Associate Degree or Short-cycle Tertiary Education,21.0
103110.08171765343,5.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,9.0,Master Degree or Equivalent,29.5
42836,6.0,Professional Degree,39.5
103110.08171765343,6.0,Master Degree or Equivalent,29.5
24345,14.0,Bachelor Degree or Equivalent,39.5
53545,15.0,Associate Degree or Short-cycle Tertiary Education,39.5
72714,9.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,11.237177936373532,,18.0
371,2.0,Bachelor Degree or Equivalent,21.0
86528,6.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,5.0,Associate Degree or Short-cycle Tertiary Education,29.5
30842,8.0,Master Degree or Equivalent,29.5
140000,24.0,Master Degree or Equivalent,49.5
66396,10.0,Associate Degree or Short-cycle Tertiary Education,29.5
160634,40.0,Associate Degree or Short-cycle Tertiary Education,70.0
103110.08171765343,11.237177936373532,Master Degree or Equivalent,21.0
103110.08171765343,7.0,Primary Education,29.5
18665,9.0,Associate Degree or Short-cycle Tertiary Education,29.5
117798,5.0,Master Degree or Equivalent,29.5
145000,7.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,5.0,Master Degree or Equivalent,29.5
85672,6.0,Master Degree or Equivalent,29.5
103110.08171765343,4.0,Master Degree or Equivalent,29.5
85672,9.0,Master Degree or Equivalent,39.5
103110.08171765343,4.0,,21.0
111167,6.0,Master Degree or Equivalent,29.5
39837,7.0,Associate Degree or Short-cycle Tertiary Education,29.5
3291,17.0,Bachelor Degree or Equivalent,39.5
200990,10.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,45.0,Master Degree or Equivalent,70.0
2356,29.0,Master Degree or Equivalent,49.5
46071,4.0,Associate Degree or Short-cycle Tertiary Education,39.5
96381,25.0,Master Degree or Equivalent,49.5
18175,6.0,Bachelor Degree or Equivalent,29.5
90613,23.0,Master Degree or Equivalent,39.5
103110.08171765343,10.0,Master Degree or Equivalent,39.5
118000,12.0,Bachelor Degree or Equivalent,39.5
103110.08171765343,2.0,Bachelor Degree or Equivalent,21.0
102806,10.0,Master Degree or Equivalent,29.5
23019,4.0,Secondary Education,21.0
150000,6.0,Master Degree or Equivalent,39.5
103110.08171765343,6.0,,29.5
91371,16.0,Master Degree or Equivalent,39.5
103110.08171765343,25.0,Master Degree or Equivalent,49.5
8613,3.0,Secondary Education,29.5
85041,2.0,Associate Degree or Short-cycle Tertiary Education,21.0
103110.08171765343,11.237177936373532,Master Degree or Equivalent,29.5
47852,6.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,31.0,,49.5
10709,3.0,Associate Degree or Short-cycle Tertiary Education,21.0
107090,28.0,Primary Education,49.5
31833,6.0,Bachelor Degree or Equivalent,29.5
149925,10.0,Master Degree or Equivalent,39.5
121238,4.0,Bachelor Degree or Equivalent,29.5
128507,12.0,,29.5
72714,3.0,Bachelor Degree or Equivalent,29.5
200000,20.0,Master Degree or Equivalent,39.5
69608,12.0,Master Degree or Equivalent,39.5
103110.08171765343,1.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,0.0,Master Degree or Equivalent,49.5
103110.08171765343,11.237177936373532,Master Degree or Equivalent,70.0
103110.08171765343,13.0,Bachelor Degree or Equivalent,39.5
47852,11.0,Bachelor Degree or Equivalent,29.5
59970,5.0,Master Degree or Equivalent,29.5
103110.08171765343,12.0,,59.5
53545,3.0,Associate Degree or Short-cycle Tertiary Education,29.5
3237,10.0,Bachelor Degree or Equivalent,29.5
52046,5.0,Bachelor Degree or Equivalent,21.0
41765,4.0,Master Degree or Equivalent,29.5
71326,7.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,18.0,Bachelor Degree or Equivalent,49.5
103110.08171765343,30.0,Bachelor Degree or Equivalent,70.0
103110.08171765343,7.0,Bachelor Degree or Equivalent,29.5
62969,5.0,Bachelor Degree or Equivalent,29.5
55862,12.0,Bachelor Degree or Equivalent,39.5
48190,3.0,Primary Education,29.5
24234,8.0,Master Degree or Equivalent,39.5
34911,2.0,Associate Degree or Short-cycle Tertiary Education,29.5
26772,3.0,Bachelor Degree or Equivalent,21.0
103110.08171765343,19.0,Bachelor Degree or Equivalent,39.5
103110.08171765343,6.0,Bachelor Degree or Equivalent,29.5
65325,18.0,Master Degree or Equivalent,39.5
103110.08171765343,3.0,Master Degree or Equivalent,21.0
74963,8.0,Professional Degree,39.5
3213,15.0,Bachelor Degree or Equivalent,39.5
185879,50.0,Master Degree or Equivalent,70.0
51415,24.0,Master Degree or Equivalent,49.5
170000,25.0,Bachelor Degree or Equivalent,39.5
138033,30.0,Bachelor Degree or Equivalent,49.5
5322,20.0,Master Degree or Equivalent,39.5
3962,5.0,Secondary Education,21.0
103110.08171765343,11.0,Bachelor Degree or Equivalent,29.5
110000,19.0,Bachelor Degree or Equivalent,39.5
155000,27.0,Bachelor Degree or Equivalent,49.5
53545,10.0,Master Degree or Equivalent,29.5
128507,10.0,Master Degree or Equivalent,39.5
103110.08171765343,0.0,Master Degree or Equivalent,29.5
103110.08171765343,2.0,Professional Degree,29.5
36351,4.0,Bachelor Degree or Equivalent,21.0
55687,8.0,Master Degree or Equivalent,29.5
96381,23.0,Master Degree or Equivalent,39.5
58899,20.0,Secondary Education,39.5
44978,16.0,Bachelor Degree or Equivalent,39.5
74963,4.0,Bachelor Degree or Equivalent,29.5
56757,17.0,Associate Degree or Short-cycle Tertiary Education,39.5
80317,16.0,Master Degree or Equivalent,39.5
74963,6.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,0.0,Bachelor Degree or Equivalent,29.5
42306,15.0,Bachelor Degree or Equivalent,39.5
101735,7.0,Bachelor Degree or Equivalent,29.5
71379,2.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,11.237177936373532,Primary Education,18.0
20000,5.0,,21.0
99195,3.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,15.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,1.0,Associate Degree or Short-cycle Tertiary Education,21.0
59403,0.0,Bachelor Degree or Equivalent,21.0
58008,5.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,2.0,Bachelor Degree or Equivalent,29.5
170000,43.0,Master Degree or Equivalent,59.5
103110.08171765343,19.0,Professional Degree,49.5
120000,7.0,Bachelor Degree or Equivalent,29.5
85672,21.0,Secondary Education,39.5
103110.08171765343,14.0,Master Degree or Equivalent,39.5
130000,10.0,Master Degree or Equivalent,29.5
103110.08171765343,4.0,Associate Degree or Short-cycle Tertiary Education,29.5
103110.08171765343,2.0,Bachelor Degree or Equivalent,33.12089367216994
103110.08171765343,11.237177936373532,Master Degree or Equivalent,39.5
10000,6.0,Bachelor Degree or Equivalent,29.5
223449,6.0,Associate Degree or Short-cycle Tertiary Education,21.0
73104,14.0,Bachelor Degree or Equivalent,39.5
30431,5.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,8.0,Associate Degree or Short-cycle Tertiary Education,29.5
55285,14.0,Secondary Education,39.5
103110.08171765343,25.0,Associate Degree or Short-cycle Tertiary Education,49.5
103110.08171765343,11.0,Master Degree or Equivalent,29.5
18289,8.0,Secondary Education,29.5
16063,6.0,Bachelor Degree or Equivalent,21.0
103110.08171765343,10.0,Master Degree or Equivalent,29.5
103110.08171765343,1.0,Bachelor Degree or Equivalent,21.0
103110.08171765343,22.0,Master Degree or Equivalent,49.5
125380,7.0,Master Degree or Equivalent,29.5
46992,26.0,Associate Degree or Short-cycle Tertiary Education,49.5
1021,2.0,Associate Degree or Short-cycle Tertiary Education,21.0
64254,8.0,Associate Degree or Short-cycle Tertiary Education,39.5
42836,19.0,Master Degree or Equivalent,39.5
5089,1.0,Bachelor Degree or Equivalent,21.0
79246,25.0,Bachelor Degree or Equivalent,49.5
240000,7.0,Bachelor Degree or Equivalent,29.5
13922,8.0,Associate Degree or Short-cycle Tertiary Education,29.5
74963,38.0,Associate Degree or Short-cycle Tertiary Education,59.5
61041,4.0,Master Degree or Equivalent,21.0
172542,13.0,Master Degree or Equivalent,39.5
7087,5.0,Associate Degree or Short-cycle Tertiary Education,21.0
138985,18.0,Secondary Education,39.5
33000,7.0,Master Degree or Equivalent,29.5
103110.08171765343,11.237177936373532,Bachelor Degree or Equivalent,49.5
103110.08171765343,11.237177936373532,Master Degree or Equivalent,59.5
55687,3.0,Master Degree or Equivalent,29.5
37481,2.0,Bachelor Degree or Equivalent,29.5
150000,25.0,Bachelor Degree or Equivalent,49.5
131620,13.0,Bachelor Degree or Equivalent,39.5
60393,8.0,Master Degree or Equivalent,29.5
120000,33.0,Bachelor Degree or Equivalent,59.5
77104,10.0,Bachelor Degree or Equivalent,39.5
130841,8.0,Bachelor Degree or Equivalent,39.5
103110.08171765343,3.0,Master Degree or Equivalent,29.5
103110.08171765343,44.0,Professional Degree,70.0
103110.08171765343,19.0,Associate Degree or Short-cycle Tertiary Education,39.5
103110.08171765343,8.0,Bachelor Degree or Equivalent,29.5
91026,25.0,Bachelor Degree or Equivalent,49.5
103110.08171765343,11.237177936373532,Master Degree or Equivalent,49.5
103110.08171765343,3.0,Associate Degree or Short-cycle Tertiary Education,21.0
69608,5.0,Master Degree or Equivalent,29.5
3110,20.0,Associate Degree or Short-cycle Tertiary Education,39.5
3635,2.0,Master Degree or Equivalent,29.5
280000,18.0,Master Degree or Equivalent,39.5
8996,17.0,Bachelor Degree or Equivalent,39.5
103110.08171765343,2.0,Associate Degree or Short-cycle Tertiary Education,29.5
103110.08171765343,2.0,Secondary Education,21.0
2142,14.0,Associate Degree or Short-cycle Tertiary Education,29.5
15400,29.0,Master Degree or Equivalent,59.5
103110.08171765343,2.0,,29.5
74963,14.0,Bachelor Degree or Equivalent,29.5
74963,20.0,Bachelor Degree or Equivalent,49.5
80317,7.0,Bachelor Degree or Equivalent,39.5
103110.08171765343,11.237177936373532,Secondary Education,29.5
238,2.0,Associate Degree or Short-cycle Tertiary Education,29.5
103110.08171765343,2.0,Bachelor Degree or Equivalent,39.5
19276,15.0,Bachelor Degree or Equivalent,39.5
88173,7.0,Associate Degree or Short-cycle Tertiary Education,39.5
21418,5.0,Professional Degree,29.5
19276,2.0,,21.0
64254,8.0,Bachelor Degree or Equivalent,39.5
25701,4.0,Associate Degree or Short-cycle Tertiary Education,29.5
82630,5.0,,39.5
103110.08171765343,4.0,Bachelor Degree or Equivalent,39.5
350000,15.0,Associate Degree or Short-cycle Tertiary Education,39.5
103110.08171765343,22.0,Bachelor Degree or Equivalent,39.5
154303,15.0,Bachelor Degree or Equivalent,39.5
168000,23.0,Bachelor Degree or Equivalent,49.5
178443,22.0,Bachelor Degree or Equivalent,39.5
103110.08171765343,8.0,Master Degree or Equivalent,29.5
24751,13.0,Secondary Education,49.5
30000,10.0,Master Degree or Equivalent,29.5
54616,20.0,Bachelor Degree or Equivalent,39.5
103110.08171765343,15.0,Bachelor Degree or Equivalent,39.5
70759,4.0,Bachelor Degree or Equivalent,29.5
103110.08171765343,14.0,Associate Degree or Short-cycle Tertiary Education,29.5
118962,10.0,Associate Degree or Short-cycle Tertiary Education,39.5
69608,8.0,Bachelor Degree or Equivalent,29.5
81194,13.0,Secondary Education,39.5
103110.08171765343,12.0,Secondary Education,29.5
103110.08171765343,3.0,,21.0
12851,3.0,Bachelor Degree or Equivalent,29.5
107446,9.0,Bachelor Degree or Equivalent,39.5
103110.08171765343,11.237177936373532,Associate Degree or Short-cycle Tertiary Education,29.5
3247,2.0,Bachelor Degree or Equivalent,21.0
103110.08171765343,16.0,Secondary Education,39.5
43456,4.0,Master Degree or Equivalent,29.5
103110.08171765343,16.0,Associate Degree or Short-cycle Tertiary Education,39.5
74963,14.0,Bachelor Degree or Equivalent,39.5
103110.08171765343,11.237177936373532,,21.0
103110.08171765343,4.0,Master Degree or Equivalent,39.5
69608,22.0,Secondary Education,39.5
103110.08171765343,13.0,Bachelor Degree or Equivalent,29.5
295000,25.0,Bachelor Degree or Equivalent,49.5
30292,14.0,Associate Degree or Short-cycle Tertiary Education,39.5
35340,1.0,,21.0
11156,3.0,Bachelor Degree or Equivalent,29.5
26657,12.0,Master Degree or Equivalent,29.5
149925,21.0,Master Degree or Equivalent,39.5
32127,4.0,Bachelor Degree or Equivalent,29.5
72975,13.0,Master Degree or Equivalent,29.5
69517,12.0,Associate Degree or Short-cycle Tertiary Education,39.5
77104,12.0,Professional Degree,39.5
103110.08171765343,24.0,Master Degree or Equivalent,49.5
14102,3.0,Bachelor Degree or Equivalent,29.5
